season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
4,1,12,14,0,2,0,2,0.58,0.15,0.76,0.1
1,1,10,21,0,4,1,1,0.63,0.88,0.54,0.1
3,1,9,10,0,4,1,1,0.24,0.81,0.28,0.02
1,0,4,4,0,3,1,2,0.83,0.84,0.29,0.44
3,0,12,0,0,5,1,1,0.44,0.9,0.68,0.4
3,0,1,7,0,0,0,2,0.41,0.24,0.5,0.28
1,0,2,20,0,0,0,3,0.52,0.42,0.34,0.51
1,0,1,11,0,1,1,3,0.14,0.71,0.54,0.48
3,0,12,11,0,3,1,1,0.23,0.66,0.24,0.35
2,0,5,4,0,6,1,1,0.69,0.22,0.61,0.52
4,1,5,6,0,6,1,4,0.17,0.75,0.39,0.12
1,0,11,3,0,1,1,2,0.58,0.28,0.76,0.07
4,1,7,5,0,1,1,1,0.3,0.28,0.42,0.16
2,0,9,12,0,1,0,3,0.41,0.53,0.52,0.03
2,0,9,19,0,5,0,2,0.33,0.57,0.21,0.32
2,0,3,14,0,5,0,1,0.38,0.56,0.25,0.56
1,1,3,2,0,2,0,1,0.68,0.17,0.47,0.02
2,1,3,22,0,2,0,1,0.34,0.8,0.54,0.07
1,1,4,7,0,1,0,1,0.55,0.31,0.62,0.27
2,1,8,19,0,3,0,1,0.48,0.2,0.4,0.56
4,0,6,15,0,0,0,2,0.63,0.81,0.69,0.19
4,1,8,12,0,5,1,1,0.85,0.86,0.8,0.3
3,0,1,17,0,3,0,1,0.69,0.79,0.75,0.02
4,0,8,9,0,4,1,1,0.27,0.75,0.23,0.09
3,1,4,18,0,5,1,1,0.12,0.62,0.54,0.59
4,1,11,16,1,5,1,3,0.31,0.54,0.27,0.58
1,1,1,23,0,2,0,1,0.58,0.17,0.37,0.0
4,1,8,18,0,0,1,1,0.14,0.43,0.89,0.57
3,1,4,22,0,0,1,2,0.5,0.4,0.3,0.38
3,1,6,4,0,6,1,1,0.58,0.31,0.55,0.52
2,1,8,20,1,6,1,1,0.37,0.68,0.63,0.27
1,1,4,22,0,6,0,1,0.72,0.5,0.69,0.31
4,0,3,8,0,6,0,1,0.19,0.16,0.59,0.29
2,1,9,11,0,4,1,1,0.16,0.28,0.21,0.4
4,1,3,20,0,4,1,1,0.68,0.65,0.43,0.08
4,0,9,0,0,5,1,1,0.5,0.16,0.56,0.02
2,1,2,0,0,1,1,3,0.65,0.78,0.26,0.18
2,0,2,14,0,2,0,1,0.45,0.5,0.45,0.42
2,0,2,1,0,2,1,1,0.3,0.48,0.22,0.12
2,1,6,21,0,6,0,2,0.76,0.57,0.26,0.4
2,0,3,15,0,5,1,1,0.74,0.76,0.48,0.58
4,0,9,7,0,3,1,2,0.66,0.38,0.29,0.06
2,0,4,12,0,1,1,1,0.32,0.64,0.6,0.4
1,0,1,20,0,5,0,3,0.57,0.55,0.68,0.27
3,1,4,0,0,1,0,1,0.39,0.31,0.76,0.52
2,0,1,15,0,1,1,1,0.17,0.8,0.34,0.11
2,1,5,6,0,1,0,1,0.83,0.74,0.32,0.42
4,0,4,4,0,5,1,4,0.21,0.63,0.27,0.5
2,0,8,21,1,6,0,1,0.86,0.78,0.65,0.57
2,0,8,22,0,2,1,1,0.46,0.79,0.69,0.41
2,0,7,2,0,2,1,1,0.25,0.67,0.22,0.3
4,1,3,11,0,6,0,2,0.53,0.77,0.86,0.37
2,1,1,15,0,1,1,1,0.8,0.66,0.24,0.52
3,0,1,18,1,3,0,2,0.69,0.64,0.58,0.34
4,0,12,4,0,0,0,1,0.75,0.59,0.7,0.02
3,1,11,21,1,5,1,1,0.63,0.7,0.81,0.56
4,0,3,13,0,0,1,1,0.65,0.23,0.7,0.41
2,0,6,4,0,6,1,1,0.78,0.8,0.76,0.41
3,0,7,14,0,3,0,1,0.3,0.8,0.44,0.13
4,1,6,16,1,5,1,1,0.49,0.12,0.77,0.4
1,1,6,13,0,6,1,2,0.28,0.76,0.26,0.24
2,1,6,19,0,1,1,1,0.89,0.2,0.83,0.39
4,0,3,4,1,2,1,1,0.86,0.37,0.58,0.06
1,0,6,11,0,0,1,1,0.13,0.69,0.77,0.39
4,1,8,15,0,4,1,1,0.66,0.23,0.52,0.6
1,1,11,15,0,4,1,1,0.84,0.75,0.65,0.03
2,1,11,20,0,3,1,1,0.24,0.77,0.57,0.59
3,1,2,6,0,1,1,1,0.55,0.51,0.71,0.24
1,0,5,3,0,0,0,2,0.83,0.11,0.26,0.52
4,1,1,0,0,1,1,3,0.13,0.33,0.24,0.47
2,0,12,4,0,0,1,1,0.66,0.59,0.37,0.34
1,1,1,22,0,3,0,1,0.34,0.88,0.31,0.44
4,0,5,9,1,3,0,2,0.84,0.61,0.81,0.53
4,1,12,21,0,4,1,1,0.88,0.31,0.35,0.24
4,1,3,4,0,1,1,1,0.86,0.61,0.88,0.2
1,1,4,3,0,5,1,1,0.48,0.53,0.44,0.4
1,1,3,1,0,4,0,2,0.79,0.72,0.33,0.48
1,0,1,19,0,1,1,2,0.78,0.19,0.75,0.46
3,1,1,9,0,4,0,1,0.36,0.71,0.66,0.48
1,0,12,18,0,5,0,1,0.76,0.53,0.55,0.26
1,0,12,0,0,2,0,1,0.13,0.87,0.59,0.49
1,0,5,23,0,2,1,2,0.58,0.37,0.7,0.07
3,0,6,4,1,2,1,1,0.28,0.61,0.36,0.33
1,1,3,12,1,2,1,1,0.2,0.85,0.9,0.0
4,0,12,3,0,6,1,2,0.16,0.18,0.88,0.19
1,0,9,15,0,0,1,1,0.66,0.85,0.66,0.22
4,0,5,23,0,6,1,2,0.37,0.65,0.34,0.24
4,1,8,15,0,6,1,1,0.68,0.15,0.68,0.42
4,1,1,22,0,6,1,1,0.15,0.34,0.25,0.23
3,1,5,1,0,2,1,1,0.35,0.67,0.22,0.27
3,1,3,16,0,5,1,2,0.53,0.15,0.38,0.14
3,0,12,19,0,3,1,2,0.73,0.57,0.52,0.22
1,0,1,23,0,3,1,2,0.36,0.38,0.81,0.14
4,1,4,11,0,0,1,1,0.6,0.6,0.71,0.04
